date,año,mes,dia,dia_semana,dia_semana_num,es_fin_semana,es_dia_pago,es_festivo,es_dia_habil,despues_festivo,antes_festivo,quincena,dias_desde_pago
2024-12-03,2024,12,3,Tuesday,1,False,False,False,True,False,False,1,2
2024-12-04,2024,12,4,Wednesday,2,False,False,False,True,False,False,1,3
2024-12-05,2024,12,5,Thursday,3,False,False,False,True,False,False,1,4
2024-12-06,2024,12,6,Friday,4,False,True,False,True,False,False,1,0
2024-12-07,2024,12,7,Saturday,5,True,False,False,False,False,False,1,1
2024-12-08,2024,12,8,Sunday,6,True,False,False,False,False,False,1,2
2024-12-09,2024,12,9,Monday,0,False,False,False,True,False,False,1,3
2024-12-10,2024,12,10,Tuesday,1,False,False,False,True,False,False,1,4
2024-12-11,2024,12,11,Wednesday,2,False,False,False,True,False,False,1,5
2024-12-12,2024,12,12,Thursday,3,False,False,False,True,False,False,1,6
2024-12-13,2024,12,13,Friday,4,False,True,False,True,False,False,1,0
2024-12-14,2024,12,14,Saturday,5,True,False,False,False,False,False,1,1
2024-12-15,2024,12,15,Sunday,6,True,True,False,False,False,False,1,0
2024-12-16,2024,12,16,Monday,0,False,False,False,True,False,False,2,1
2024-12-17,2024,12,17,Tuesday,1,False,False,False,True,False,False,2,2
2024-12-18,2024,12,18,Wednesday,2,False,False,False,True,False,False,2,3
2024-12-19,2024,12,19,Thursday,3,False,False,False,True,False,False,2,4
2024-12-20,2024,12,20,Friday,4,False,True,False,True,False,False,2,0
2024-12-21,2024,12,21,Saturday,5,True,False,False,False,False,False,2,1
2024-12-22,2024,12,22,Sunday,6,True,False,False,False,False,False,2,2
2024-12-23,2024,12,23,Monday,0,False,False,False,True,False,False,2,3
2024-12-24,2024,12,24,Tuesday,1,False,False,False,True,False,True,2,4
2024-12-25,2024,12,25,Wednesday,2,False,False,True,False,False,False,2,5
2024-12-26,2024,12,26,Thursday,3,False,False,False,True,True,False,2,6
2024-12-27,2024,12,27,Friday,4,False,True,False,True,False,False,2,0
2024-12-28,2024,12,28,Saturday,5,True,False,False,False,False,False,2,1
2024-12-29,2024,12,29,Sunday,6,True,False,False,False,False,False,2,2
2024-12-30,2024,12,30,Monday,0,False,False,False,True,False,False,2,3
2024-12-31,2024,12,31,Tuesday,1,False,True,False,True,False,True,2,0
